TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Autonomous collision avoidance system for unmanned aerial vehicle e.g. airplanes, has auto avoidance module generating guidance maneuver command that facilitates unmanned aerial vehicle to avoid potential object of collision",DUGGAN D S;  FELIO D A;  ASKEW C S,L-3 UNMANNED SYSTEMS INC (LTHR-Non-standard),"%%%The%system%has%a%detect%and%track%module%(104)%sensing%a%potential%object%of%collision%and%generating%a%moving%object%track%for%the%potential%object%of%collision.%An%inertial%navigation%system%(105)%provides%information%indicative%of%a%position%and%velocity%of%an%unmanned%aerial%vehicle%(102).%An%auto%avoidance%module%(106)%generates%a%guidance%maneuver%command%that%facilitates%the%unmanned%aerial%vehicle%to%avoid%the%potential%object%of%collision%based%on%a%determination%that%the%zero%effort%miss%distance%is%less%than%the%predetermined%miss%distance%limit.%%%%%-%Autonomous%collision%avoidance%system%for%an%unmanned%aerial%vehicle%e.g.%airplanes,%helicopters,%missiles,%submarines,%balloons%or%dirigibles,%wheeled%road%vehicles,%and%tracked%ground%vehicles%such%as%tanks.%Can%also%be%d%for%manned%aerial%vehicle.%%%%%-%The%system%allows%the%auto%avoidance%module%to%receive%the%moving%object%track%for%the%potential%object%of%collision%and%the%information%indicative%of%the%position%and%the%velocity%of%the%unmanned%aerial%vehicle%by%the%inertial%navigation%system,%so%that%the%auto%avoidance%module%can%utilize%the%information%to%generate%a%guidance%maneuver%that%facilitates%the%unmanned%aerial%vehicle%to%avoid%the%potential%object%of%collision,%thus%providing%an%effective%and%reliable%collision%avoidance%system%for%pilots,%and%hence%enhancing%an%additional%mechanism%to%safely%fly%manned%aircraft.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%facilitating%autonomously%controlling%an%unmanned%aerial%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%a%collision%avoidance%system.%%%%Autonomously%controlled%collision%avoidance%system%(100)%%%%Unmanned%aerial%vehicle%(102)%%%%Detect%and%track%module%(104)%%%%Inertial%navigation%system%(105)%%%%Auto%avoidance%module%(106)%","W06(Aviation,MarineandRadarSystems)",NA,NA,US8380425-B2ContofApplicationUS872144;US8380425-B2ContofPatentUS7818127
"Method for adapting e.g. wide area network for unmanned aerial vehicles, involves receiving situational awareness data at mobile client platform that calculates updated communication plan",CULLEN E J;  HERRING R N;  ROBSON D R J;  ROBSON D J R,BAE SYSTEMS PLC (BRAX-C);  BAE SYSTEMS PLC (BRAX-C),"%%%The%method%involves%establishing%communication%plan,%which%identifies%a%mobile%client%platform%(MCP)-to-base%communication%link%(311)%between%a%MCP%(11)%and%a%base%station,%where%a%communication%link%comprises%first%channel%frequency.%First%situational%awareness%data%is%generated%at%the%MCP.%Second%situational%awareness%data%is%received%at%the%MCP%that%calculates%updated%communication%plan%according%to%metaheuristic%algorithm%i.e.%random%neural%network%(RNN)%algorithm%(60).%%%%%-%Method%for%adapting%a%communication%network%e.g.%wide%area%network%(WAN),%and%internet%protocol%(IP)%network,%for%autonomous%vehicles%i.e.%unmanned%aerial%vehicles%(UAVs).%%%%%-%The%method%enables%the%RNN%algorithm%with%a%set%of%link-to%communication%requests%from%a%set%of%platforms%and%a%set%of%channels%to%be%allocated%to%the%MCP,%thus%maximizing%cost%function%across%the%network.%The%method%enables%providing%a%network%arrangement%that%can%share%data%related%to%communication%between%nodes,%so%that%the%network%can%optimize%the%communication%plan%to%ensure%optimized/acceptable%allocation%of%base%station%spectrum.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%an%adaptive%communication%network.%%%%MCP%(11)%%%%Ground%control%stations%(21-23)%%%%Air%traffic%controllers%(31-32)%%%%Random%neural%network%algorithm%(60)%%%%MCP-to-base%communication%link%(311)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),NA,EP2745431-A1PCTapplicationApplicationWOGB052001;EP2745431-A1BasedonPatentWO2013027026;US2014226584-A1PCTapplicationApplicationWOGB052001
"Radiative scanner i.e. side scanning sonar, for mounting on ship for relating echoes from e.g. sea shells in marine environment, has signal generator for propagating broad beam sonar signal, and receiver for receiving echoes from signal",RIKOSKI R J,US SEC OF NAVY (USNA-C),"%%%The%scanner%i.e.%side%scanning%sonar%(10),%has%a%signal%generator%for%propagating%broad%beam%sonar%signal%(13).%A%receiver%receives%echoes%from%the%signal%from%a%preselected%range%of%effective%grazing%angles.%A%processor%records%signatures%of%the%echoes%in%responsive%to%the%receiver.%The%processor%is%associated%in%a%database,%where%each%of%the%signatures%is%provided%with%the%respective%effective%grazing%angle.%The%processor%converts%a%portion%of%spectrum%of%the%echo%signature%to%a%spectrum%at%preselected%different%grazing%angle.%%%%%-%Radiative%scanner%i.e.%side%scanning%sonar,%for%mounting%on%a%r%aboard%ship%for%relating%echoes%from%objects%such%as%sea%shells,%pebbles,%rocks,%shoals,%patches%of%seafloor,%terrain,%naval%mines,%undersea%pipes%or%cables%and%sunken%vessels,%in%a%marine%environment.%Can%also%be%d%for%autonomous%underwater%vehicles%(AUVs),%unmanned%aerial%vehicles%(UAVs),%aircrafts,%helicopters%and%spacecraft.%%%%%-%The%scanner%permits%mapping%of%the%spectrum%of%the%echoes%from%the%object%at%the%grazing%angle%to%the%spectrum%for%the%echo%at%another%grazing%angle,%thus%permitting%better%correlation%between%the%echoes%returned%at%different%grazing%angles.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%relating%echoes%from%a%surface%or%object%produced%by%irradiation.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%a%radiative%scanner.%%%%Side%scanning%sonar%(10)%%%%Ship%(12)%%%%Broad%beam%sonar%signal%(13)%%%%Marine%surface%(14)%%%%Bottom%part%(20)%",T01(DigitalComputers),"W06(Aviation,MarineandRadarSystems)",W07(ElectricalMilitaryEquipmentandWeapons),US8374054-B1ProvisionalApplicationUS216566P
"Conversion complex of diesel locomotive power supply comprises three-phase traction synchronous generator, from the first to the fourth high-voltage converters",BABKOV YU V;  KUZNETSOV N A;  PERFILEV K S;  CHUPIN YA V;  SUKHANOV O O,ROLLING STOCK DESIGN TECHNOLOGICAL INST (ROLL-Non-standard),"%%%Invention%relates%to%power%supply%of%vehicles,%in%particular,%to%power%semiconductor%converters%for%passenger%and%cargo%diesel%locomotives%converting%AC%energy%at%the%inlet%into%AC%energy%at%the%outlet.%The%conversion%complex%of%diesel%locomotive%power%supply%comprises%a%three-phase%traction%synchronous%generator,%from%the%first%to%the%fourth%high-voltage%converters,%traction%electric%motors%of%the%first%and%second%trolley%of%a%diesel%locomotive,%common%manifold%busbars%of%diesel%locomotive%power%supply,%auxiliary%converters,%besides,%the%first%high-voltage%converter%is%arranged%from%serially%joined%a%three-phase%rectifier%and%a%multi-channel%autonomous%inverter%of%voltage%for%conversion%of%input%AC%voltage%into%output%AC%voltage%controlled%by%amplitude%and%frequency,%and%the%second%high-voltage%converter%is%arranged%from%serially%joined%a%bridge%voltage%inverter,%a%matching%transformer,%a%single-phase%rectifier,%the%third%high-voltage%converter,%arranged%identically%to%the%first%high-voltage%converter,%and%the%fourth%high-voltage%converter%is%arranged%identically%to%the%second%high-voltage%converter.%%%%%-%Electricity.%%%%%-%Exclusion%of%an%auxiliary%synchronous%generator%from%diesel%locomotive%power%supply,%higher%efficiency%and%reliability%of%a%converting%complex%of%diesel%locomotive%power%supply%due%to%usage%of%one%source%of%supply,%using%auxiliary%converters%without%rectifiers.%1%dwg%","X13(Switchgear,Protection,ElectricDrives)",X23(ElectricRailwaysandSignalling),NA,NA
"Autonomous or semi-autonomous robotic system i.e. wheel-based or track-based radio controlled robot, for facilitating image-based crack detection, has processing system classifying crack from non-crack pattern using classifier to form map",JAHANSHAHI M R;  MASRI S;  MASRI S F,UNIV SOUTHERN CALIFORNIA (USCA-C);  UNIV SOUTHERN CALIFORNIA (USCA-C),"%%%The%system%(200)%has%a%processing%system%e.g.%CPU,%connected%to%a%storage%device%e.g.%DVD.%A%program%stored%in%the%storage%device%is%executed%by%the%processing%system%to%ca%the%system%to%establish%structuring%element%from%images%of%a%scene%based%on%working%distance%and%focal%length%of%a%three-dimensional%(3D)%structure%of%the%scene.%The%processing%system%segments%potential%crack%patterns%by%applying%a%morphological%operation,%and%determines%features%for%the%pattern.%The%processing%system%classifies%a%crack%from%a%non-crack%pattern%using%a%trained%classifier%to%form%a%multiscale%crack%map.%%%%%-%Unmanned%aerial%vehicles%(UAV)%or%mobile%autonomous%or%semi-autonomous%robotic%system%i.e.%wheel-based%or%track-based%radio%controlled%robot,%for%facilitating%contact-less%remote-sensing%image-based%crack%detection%and/quantification%based%on%3D%scene%reconstruction,%image%processing%and%pattern%recognition%for%concrete%structures%by%using%a%computer%system%e.g.%desktop%computer%or%portable%computer%such%as%laptop%computer,%notebook%computer,%tablet%computer,%personal%digital%assistant%(PDA),%smartphone,%or%part%of%larger%system%such%vehicle,%appliance%and/or%telephone%system,%for%inspection%purposes.%s%include%but%are%not%limited%to%buildings,%dams,%bridges%and/or%nuclear%reactors.%%%%%-%The%system%allows%a%r%to%interactively%select%a%portion%of%a%crack,%and%to%average%crack%thicknesses%for%the%region,%thus%improving%robustness%of%the%system%in%presence%of%noise.%The%system%allows%inaccessible%regions%to%be%properly%inspected%for%cracks.%%%%%%-%The%trained%classifier%comprises%a%neural%network,%a%support%vector%machine%(SVM)%and%a%neural%nearest-neighbor%classifier.%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%detecting%crack.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%functional%block%diagram%of%a%structure%representing%crack%detection.%%%%System%for%detecting%crack%(200)%%%%Step%for%sensing%data%(210)%%%%Step%for%reconstructing%3D%scene%(220)%%%%Step%for%segmenting%crack%(230)%%%%Step%for%extracting%feature%(240)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),NA,US2013034298-A1ProvisionalApplicationUS515040P;US2013034298-A1ProvisionalApplicationUS515024P;US2013034298-A1ProvisionalApplicationUS515022P;US8873837-B2ProvisionalApplicationUS515040P;US8873837-B2ProvisionalApplicationUS515024P;US8873837-B2ProvisionalApplicationUS515022P
"Autonomous or semi-autonomous robotic system i.e. wheel-based or track-based radio controlled robot, in e.g. buildings for facilitating image-based crack detection, has processor for determining measured thickness as crack pixels",JAHANSHAHI M R;  MASRI S,UNIV SOUTHERN CALIFORNIA (USCA-C);  UNIV SOUTHERN CALIFORNIA (USCA-C),"%%%The%system%has%a%processing%system%i.e.%CPU,%connected%to%a%storage%device%e.g.%hard%disk%drive,%where%program%is%stored%in%the%storage%device%and%execution%of%the%program%by%a%processor%determines%tangential%orientation%for%centerline%pixels%of%multi-scale%binary%crack%map%by%correlating%different%orientational%kernels%with%the%crack%map.%The%processor%estimates%thickness%orientation%as%perpendicular%orientation%to%tangent%at%the%centerline%pixel.%The%processor%determines%measured%thickness%as%crack%pixels%that%are%aligned%with%the%thickness%orientation%for%the%centerline%pixel.%%%%%-%Unmanned%aerial%vehicles%(UAV)%or%mobile%autonomous%or%semi-autonomous%robotic%system%i.e.%wheel-based%or%track-based%radio%controlled%robot,%for%facilitating%contact-less%remote-sensing%image-based%crack%detection%and%quantification%based%on%three-%dimensional%(3D)%scene%reconstruction,%image%processing%and%pattern%recognition%for%concrete%structures%by%using%a%computer%system%e.g.%desktop%computer%or%portable%computer%such%as%laptop%computer,%notebook%computer,%tablet%computer,%personal%digital%assistant%(PDA)%and%smartphone%or%part%of%larger%system%such%as%vehicle,%appliance%and%telephone%system,%for%inspection%purposes.%s%include%but%are%not%limited%to%buildings,%dams,%bridges%and%nuclear%reactors.%%%%%-%The%system%allows%a%r%to%interactively%select%a%portion%of%crack%and%to%average%crack%thicknesses%for%the%region,%thus%improving%robustness%of%the%system%in%presence%of%noise.%The%system%allows%inaccessible%regions%to%be%properly%inspected%for%the%crack%in%an%adaptive%and%reliable%manner.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%quantifying%crack.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%functional%block%diagram%of%a%structure%illustrating%crack%detection.%%%%System%for%detecting%crack%(200)%%%%Step%for%sensing%data%(210)%%%%Step%for%reconstructing%3D%scene%(220)%%%%Step%for%segmenting%crack%(230)%%%%Step%for%extracting%feature%(240)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),NA,US2013034305-A1ProvisionalApplicationUS515024P;US2013034305-A1ProvisionalApplicationUS515040P;US2013034305-A1ProvisionalApplicationUS515022P;US9235902-B2ProvisionalApplicationUS515024P;US9235902-B2ProvisionalApplicationUS515040P;US9235902-B2ProvisionalApplicationUS515022P
"Industrial floor conveyor for transporting motor vehicles in automotive industry, has a receptacle through which wheels of vehicle are lifted by preset distance from bottom, and drive device for enabling autonomous movement of conveyor",HABISREITINGER U,DAIMLER AG (DAIM-C),"%%%The%industrial%floor%conveyor%(12)%includes%a%receptacle%(28)%for%receiving%the%wheels%(14)%of%an%axle%(16)%of%motor%vehicle%(10),%through%which%the%wheels%are%lifted%by%a%predetermined%distance%from%the%bottom%of%operating%surface,%and%a%drive%device%for%enabling%autonomous%movement%of%the%conveyor%along%a%predetermined%conveying%path.%A%navigation%device%is%arranged%for%determining%the%position%of%conveyor.%The%navigation%device%has%a%magnetic%sensor%(46)%mounted%with%magnets,%for%determining%the%relative%position%of%conveyor%with%respect%to%the%bottom%of%operating%surface.%%%%%-%Industrial%floor%conveyor%for%transporting%motor%vehicles%in%automotive%industry.%%%%%-%Effective%transportation%of%motor%vehicles%from%the%starting%point%to%the%end%point%of%assembly%is%enabled,%and%the%floor%conveyor%can%be%made%very%flexible%for%%also%when%transporting%cars%between%individual%bands,%workstations%or%buildings%of%manufacturing%plant.%Capacity%for%autonomous%navigation%eliminates%the%need%for%the%fully%assembled%vehicles%to%be%moved%manually%by%the%workers,%so%the%cost%and%number%of%labors%can%be%saved.%The%permanent%magnets%laid%in%the%ground%are%extremely%resistant%to%environmental%influences%such%as%dust,%dirt%or%wear%of%soil%surface.%The%conveyor%can%be%operated%and%installed%easily.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%the%motor%vehicle%which%is%transported%using%the%floor%conveyor.%%%%Motor%vehicle%(10)%%%%Industrial%floor%conveyor%(12)%%%%Wheel%(14)%%%%Axle%(16)%%%%Receptacle%(28)%%%%Magnetic%sensor%(46)%","Q38(Hoisting,lifting,hauling)",T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",X22(AutomotiveElectrics)
"Verification, authentication and decryption method for allowing missions of unmanned aerial vehicles in non-segregated air space involves obtaining encrypted and encoded flight plan by encoding encrypted flight plan with public key",BORRI R;  RICCHIUTI F;  SCARAFIA S;  TORRERO L,CSP INNOVAZIONE NELLE ICT SCARL (CSPI-Non-standard);  IST DI ELETTRONICA&DI ING INFORMAZIONE (ELIN-Non-standard);  IST DI ELETTRONICA & DI ING INFORMAZIONE (ELIN-Non-standard);  CSP INNOVAZIONE NELLE ICT SCARL (CSPI-Non-standard);  CSP INNOVAZIONE NELLE ICT SCARL (CSPI-Non-standard);  IST DI ELETTRONICA & DI ING INFORMAZIONE (ELIN-Non-standard);  CSP INNOVAZIONE NELLE ICT SCARL (CSPI-Non-standard);  BORRI R (BORR-Individual);  SISVEL TECHNOLOGY SRL (SISV-Non-standard);  RICCHIUTI F (RICC-Individual);  SCARAFIA S (SCAR-Individual);  TORRERO L (TORR-Individual);  CSP INNOVAZTIONE NELLE ICT SCARL (CSPI-Non-standard),"%%%The%verification,%authentication%and%decryption%method%(100)%involves%pre-arranging%(102)%a%flight%plan%by%an%operator%of%an%unmanned%aerial%vehicle,%and%then%encrypting%(106)%the%flight%plan%with%a%private%key%of%an%air%traffic%management%control%body%to%obtain%an%encrypted%flight%plan.%The%encrypted%flight%plan%is%encoded%(108)%with%a%public%key%of%the%unmanned%aerial%vehicle%for%which%the%flight%plan%is%intended%to%obtain%an%encrypted%and%encoded%flight%plan.%%%%%-%Verification,%authentication%and%decryption%device%for%allowing%missions%of%unmanned%aerial%vehicles%in%non-segregated%air%space.%%%%%-%Allow%missions%of%unmanned%aerial%vehicles,%in%particular%in%non-segregated%air%space%by%authenticating%the%flight%plan%authorized%by%the%air%traffic%management%and%control%body,%and%enabling%vehicle%itself%to%operate%in%a%safe%manner%in%areas%beyond%the%line%of%sight%of%the%vehicle%operator.%Allows%air%traffic%management%and%control%body%to%verify%whether%the%authorized%flight%plan%has%been%observed%when%a%mission%of%aerial%vehicle%in%non-segregated%air%space%is%allowed.%Also%exhibits%a%computer%proof%having%evidential%efficacy%for%ascertaining%any%responsibilities%in%the%event%of%accident%when%the%missions%of%aerial%vehicle%is%allowed%in%the%non-segregated%air%space.%Enables%safe%recording%of%flight%data%into%a%device%that%can%only%be%read%by%the%air%traffic%management%and%control%body%by%using%an%available%tool%as%an%evidence%in%the%event%of%an%accident%undergone%by%the%aerial%vehicle,%and%by%analyzing%the%historical%data,%one%can%understand%if%the%accident%is%cad%by%an%accidental%failure%or%by%inobservance%of%the%flight%plan%by%the%operator.%Overcomes%limitation%that%compels%aerial%vehicle%to%fly%in%segregated%space%within%the%operator's%line%of%sight,%and%prevents%%of%all%the%applications%based%on%autonomous%operation%for%which%they%have%been%conceived,%such%as%waypoint%navigation.%possibility,%Authenticates%and%verifies%the%integrity%of%the%flight%plan%received%from%an%external%body,%while%at%the%same%time%the%management%body%can%verify%the%observance%of%the%flight%plan%by%the%operator%of%the%aerial%vehicle.%Enables%to%verify,%authenticate%and%decrypt%the%flight%plan%based%on%a%public%key%infrastructure,%which%is%widely%d%for%digital%document%signature%and%has%the%same%legal%value%as%an%autograph%signature%on%traditional%documents%to%provide%a%non-repudiation%protection%in%favor%of%the%operators%of%the%aerial%vehicles.%Allows%%of%verification,%authentication%and%decryption%device%comprising%data%that%is%only%accessible%to%the%air%traffic%management%and%control%body%to%fill%the%regulatory%void%in%regard%to%spaces%intended%for%automatic%flight%of%the%aerial%vehicle.%Provides%law%that%allows%mandatory%%of%the%verification,%authentication%and%decryption%device%to%allow%using%the%aerial%vehicle%also%beyond%the%operator's%line%of%sight,%in%areas%managed%by%external%bodies.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%verification,%authentication%and%decryption%device%for%allowing%missions%of%unmanned%aerial%vehicles%in%non-segregated%air%space.%%%%%OF%DRAWING(S)%-%The%drawing%shows%the%flow%diagram%of%the%verification,%authentication%and%decryption%method.%%%%Verification,%authentication%and%decryption%method%(100)%%%%Flight%plan%preparation%process%(102)%%%%Prepared%flight%plan%receiving%process%(104)%%%%Encrypting%process%of%flight%plan%with%private%key%(106)%%%%Encoding%process%of%flight%plan%with%public%key%(108)%",T01(DigitalComputers),T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",EP2737377-A1PCTapplicationApplicationWOIB053844;EP2737377-A1BasedonPatentWO2013014646;US2014163852-A1PCTapplicationApplicationWOIB053844;CN103748527-APCTapplicationApplicationWOIB053844;CN103748527-ABasedonPatentWO2013014646;US9613535-B2PCTapplicationApplicationWOIB053844;US9613535-B2BasedonPatentWO2013014646
"Method for autonomous accompanying of vehicle traveling along route with leader vehicle, involves determining adjusted offset position and trajectory point to provide path from follower vehicle present position to adjusted position",MUDALIGE U P;  ZENG S;  MOTORLEACH U P,GM GLOBAL TECHNOLOGY OPERATIONS INC (GENK-C);  GM GLOBAL TECHNOLOGY OPERATIONS INC (GENK-C);  GEN MOTORS GLOBAL OPERATION TECHNOLOGY (GENK-C);  GM GLOBAL TECHNOLOGIES OPERATIONS INC (GENK-C),"%%%The%method%involves%identifying%a%target%position%and%route%data%including%global%positioning%system%solution%of%leader%vehicle%(10).%A%tracking%data%indicating%leader%vehicle%traveled%path,%is%derived.%The%route%and%tracking%data%are%compared%for%identifying%data%accuracy.%The%adjusted%target%offset%position%and%trajectory%points%are%determined%to%provide%path%of%travel%from%follower%vehicle%present%position%to%adjusted%target%offset%position,%based%on%data%accuracy.%A%control%signal%for%autonomously%transitioning%the%follower%vehicle%(12)%to%adjusted%position%is%generated.%%%%%-%Method%for%autonomous%accompanying%of%vehicle%traveling%along%route%with%leader%vehicle%in%communication%with%follower%vehicle.%%%%%-%Accurate%and%safe%target%tracking%analysis%of%locations%for%the%follower%vehicles%can%be%performed.%The%follower%vehicle%is%autonomously%transitioned%to%adjusted%target%offset%position.%Safe%vehicle%convoys%for%connected%vehicles%utilizing%vehicle-to-vehicle%communication%can%be%enabled.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%system%for%communication%between%vehicles.%%%%Leader%vehicle%(10)%%%%Follower%vehicle%(12)%%%%Coordinate%system%(14)%","S02(EngineeringInstrumentation,recordingequipment,generaltestingmethods)",T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",X22(AutomotiveElectrics)
"Granular material i.e. seed, transfer system for agricultural field, has vehicle system with reservoir for receiving material that passes from reservoir into pressurized compartment without loss of pressure differential",ANDERSON N W,ANDERSON N W (ANDE-Individual);  DEERE&CO (DEEC-C);  DEERE&CO (DEEC-C);  DEERE & CO (DEEC-C);  DEERE & CO (DEEC-C);  DEERE & CO (DEEC-C),"%%%The%system%(10)%has%a%first%vehicle%system%(12)%with%a%pressurized%compartment%maintaining%first%air%pressure%that%is%being%ambient%air%outside%of%the%compartment%at%second%air%pressure.%The%first%air%pressure%is%different%from%the%second%air%pressure%to%define%a%pressure%differential.%A%second%vehicle%system%(14)%includes%a%material%discharge%device%(26)%for%delivering%a%material%to%the%first%vehicle%system.%The%first%vehicle%system%includes%a%reservoir%(42)%for%receiving%the%material.%The%material%passes%from%the%reservoir%into%the%compartment%without%loss%of%the%pressure%differential.%%%%%-%System%for%transferring%a%granular%material%i.e.%seed,%in%agricultural%field.%%%%%-%The%system%allows%the%filling%of%pressurized%compartment%while%the%material%receiving%device%performs%its%function,%which%can%be%distribution%of%seeds%or%fertilizer%or%other%granular%material%from%the%compartment%without%the%loss%of%air%pressure%in%pressurized%compartment.%The%system%allows%one%of%the%vehicle%systems%to%be%autonomous%or%semi-autonomous,%so%that%coordination%of%travel%of%one%of%the%vehicle%systems%does%not%require%human%involvement.%%%%%%-%The%vehicle%systems%are%provided%as%tractors%and%wagons.%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%transferring%material%between%vehicles.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%top%view%of%a%two-vehicle%system%utilizing%a%material%transfer%system.%%%%Material%transfer%system%(10)%%%%Vehicle%systems%(12,%14)%%%%Towed%material%source%(18)%%%%Material%discharge%device%(26)%%%%Reservoir%(42)%","Q35(Refusecollection,conveyors)",NA,NA,NA
"Method for controlling output of synchronous electrical machine for supplying electrical power to e.g. electrical load in turbofan aircraft, involves controlling field winding excitation current to achieve desired direct current voltage",RAJASHEKARA K;  ALT J T,ROLLS-ROYCE NORTH AMERICAN TECHNOLOGIES (RORO-C);  RAJASHEKARA K (RAJA-Individual);  ALT J T (ALTJ-Individual);  ROLLS-ROYCE CORP (RORO-C),"%%%The%method%involves%comparing%desired%direct%current%(DC)%voltage%(Vref)%to%actual%DC%voltage%(Vb).%Operating%frequency%(omega)%of%a%synchronous%electrical%machine%is%determined.%Flux%component%current%and%torque%component%current%are%determined%based%on%the%comparison,%the%operating%frequency%and%a%predetermined%value.%Stator%winding%current%is%controlled%in%a%stator%winding%of%the%machine%based%on%the%torque%component%current.%Excitation%current%of%a%field%winding%(30)%of%the%machine%is%controlled%by%using%flux%component%current%to%achieve%the%desired%DC%voltage.%%%%%-%Method%for%controlling%an%output%of%a%synchronous%electrical%machine%for%supplying%electrical%power%to%a%load%e.g.%DC%load%and%electrical%load,%in%an%manned%and/or%autonomous%aircraft%such%as%fixed-wing%aircraft,%turbofan%aircraft,%turboprop%aircraft%and%rotary%wing%or%hybrid%rotary%wing%aircraft,%using%a%aircraft%power%generation%system(claimed).%Can%also%be%d%for%other%air-vehicles,%land%vehicles%such%as%tracked%and/or%wheeled%vehicles,%marine%vehicles%such%as%surface%vessels,%submarines%and/or%semi-submersibles%and%amphibious%vehicles.%%%%%-%The%method%enables%eliminating%the%need%for%closing%the%loop%for%the%field%control%based%on%stator%alternating%current%(AC)%voltage%and%performing%output%of%the%synchronous%electrical%machine%without%using%field%winding%current%control%for%the%synchronous%electrical%machine%based%on%stator%winding%AC%voltage%of%the%synchronous%electrical%machine.%%%%%%-%The%flux%component%current%is%a%field%winding%flux%component%current,%and%torque%component%current%is%a%stator%winding%torque%component%current.%The%predetermined%value%is%flux%value.%The%desired%DC%voltage%is%reference%voltage.%An%INDEPENDENT%CLAIM%is%also%included%for%an%aircraft%power%generation%system.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%a%power%generation%system%with%a%power%conversion%system.%%%%Operating%frequency%(omega)%%%%Actual%DC%voltage%(Vb)%%%%DC%Voltage%(Vref)%%%%Field%winding%(30)%%%%Field%converter%(76)%","W06(Aviation,MarineandRadarSystems)",X11(PowerGenerationandHighPowerMachines),"X13(Switchgear,Protection,ElectricDrives)",NA
