517,US,B2,US 7363125 B2,099-520-910-295-233,2008-04-22,2008,US 49103406 A,2006-07-24,JP 2005021668 A 20050128,Tracking System And Autonomous Mobile Unit,MATSUSHITA ELECTRIC IND CO LTD,HASHIMOTO MASAHIKO,,SUGINOUCHI TAKEHIKO,https://lens.org/099-520-910-295-233,Granted Patent,yes,7,4,4,0,G01S15/74,,G01S15/66,,G01S15/931,G01C22/00,,G05D1/00,701/23,,701/24,,324/635,,73/861.27,,10.1117/12.265336,,10.1109/19.963155,"Tzuu-Heng S. Li et al., Fuzzy Target Tracking Control of Autonomous Mobile Robots by Using . . . , from ieeexplore.ieee.org/iel5/91/29260/01321077.pdf (IEEE Transactions on Fuzzy Systems, vol. 12, No. 4, Aug. 2004.;;D. Wormell et al., Advanced Inertial-Optical Tracking System for Wide Area Mixed and augmented reality systems, from www.isense.com/uploadedFiles/Products/White<SUB>-</SUB>Papers/IPT<SUB>-</SUB>EGVEShortPaper<SUB>-</SUB>AdvInertialOpticalTrackingSysFINAL.pdf, The Eurographics Association 2007.;;Akihisa Ohya et al., Intelligent escort robot moving together with human-methods for human position recognition-from www.roboken.esys.tsukuba.ac.jp/~ohya/pdf/SCIS2002-OYA.pdf.;;H.R. Everett, Douglas W. Gage, A Third Generation Security Robot, from SPIE Mobile Robot and Automated Vehicle Control Systems, Boston MA, Nov. 20-21, 1996, vol. 2903.;;A monostatic radio-acoustic sounding system used as an indoor remote temperature profiler, Weiss, M.; Knochel, R.; Instrumentation and Measurement, IEEE Transactions on, vol. 50, Issue 5, Oct. 2001 pp. 1043-1047 Digital Object Identifier 10.1109/19.963155.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,US,A1,US 2017/0043780 A1,117-461-564-833-791,2017-02-16,2017,US 201514935388 A,2015-11-07,KR 20150112340 A 20150810,Autonomous Driving Control Apparatus And Method For Determining Lane Change And Timing Thereof Based On Analysis For Shapes And Links Of Forward Road,HYUNDAI MOTOR CO LTD,YOON JI HYUN,https://lens.org/117-461-564-833-791,Patent Application,yes,0,5,5,0,B60W30/18163,,B60W10/04,,B60W10/20,,B60W2550/14,,B60W2550/141,,B60W2550/20,,B60W2550/22,,B60W2550/30,,B60W2550/402,,B60W2710/20,,B60W2720/10,,B60W2900/00,B60W30/18,,B60W10/04,,B60W10/20,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,US,A1,US 2010/0041285 A1,010-671-957-194-607,2010-02-18,2010,US 50058609 A,2009-07-09,US 7943208 P 20080709,Autonomous Vehicle With Fuel Cell And Autonomous Flushing System,RIGGS ALLAN,RIGGS ALLAN,https://lens.org/010-671-957-194-607,Patent Application,yes,4,4,4,0,H01M8/04089,,B63B1/12,,B63B1/125,,B63B13/00,,B63B35/00,,B63B2035/007,,B63B2035/008,,B63H5/08,,B63H21/00,,B63H21/17,,B63H2005/1258,,B63H2021/003,,H01M4/38,,H01M12/06,,H01M16/00,,H01M16/006,,H01M2250/20,,Y02T90/32,,Y02T90/38,B63H21/17,,B63H19/00,,B63H21/21,,B63H21/22,440/6,,440/113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,EP,B1,EP 1369025 B1,138-755-805-316-791,2007-12-26,2007,EP 03076218 A,2003-04-28,NL 1020798 A 20020606,"An Autonomous Agricultural Machine For Performing An Agricultural Operation, In Particular Crop Processing",LELY ENTPR AG,MIEDEMA THEO JAN,https://lens.org/138-755-805-316-791,Granted Patent,yes,0,6,6,0,A01D75/20,A01D75/20,,A01B69/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,US,A,US 5101351 A,159-462-829-310-776,1992-03-31,1992,US 50757290 A,1990-04-11,JP 9057289 A 19890412,Autonomous Vehicle Using Fuzzy Control,NISSAN MOTOR,HATTORI AKIRA,https://lens.org/159-462-829-310-776,Granted Patent,yes,37,3,3,0,G05D1/0246,,G05D1/0274,,Y10S706/90,G05D1/02,364/424.02,,180/167,,180/169,,10.1109/mspec.1984.6370431,"Zadeh, Making Computers Think Like People , Aug. 1984, pp. 26 32, IEEE Spectrum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,WO,A1,WO 2012/083057 A1,009-542-234-092-109,2012-06-21,2012,US 2011/0065238 W,2011-12-15,US 42322010 P 20101215,,US 42338810 P 20101215,,US 42336510 P 20101215,Bot Payload Alignment And Sensing,CASEPICK SYSTEMS LLC,,TOEBES STEPHEN C,,SULLIVAN ROBERT,,BUZAN FORREST,TOEBES STEPHEN C,,SULLIVAN ROBERT,,BUZAN FORREST,https://lens.org/009-542-234-092-109,Patent Application,yes,0,14,21,0,B65G1/0492,B65G1/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,US,A1,US 2016/0280267 A1,199-089-310-371-175,2016-09-29,2016,US 201514667833 A,2015-03-25,US 201514667833 A 20150325,Steering Angle Control For Multiple Features,FORD GLOBAL TECH LLC,LAVOIE ERICK MICHAEL,,RECKER DARREL ALAN,,ESCHTRUTH KIRT L,,HOCHREIN BRADLEY G,,BOUSE WILLIAM JAMES,https://lens.org/199-089-310-371-175,Patent Application,yes,5,3,3,0,B62D15/0285,,B62D5/0409,,B62D6/002,,B62D13/06,,G05D1/0088,B62D15/02,,B62D5/04,,B62D6/00,,B62D13/06,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,US,B1,US 8761991 B1,036-591-182-985-684,2014-06-24,2014,US 201213441996 A,2012-04-09,US 201213441996 A 20120409,Use Of Uncertainty Regarding Observations Of Traffic Intersections To Modify Behavior Of A Vehicle,FERGUSON DAVID I,,FAIRFIELD NATHANIEL,,GOOGLE INC,FERGUSON DAVID I,,FAIRFIELD NATHANIEL,https://lens.org/036-591-182-985-684,Granted Patent,yes,13,3,3,0,G05D1/0088,,B60W30/18154,,B60W2550/22,,G08G1/09623,,G08G1/096725,,G08G1/096758,,G08G1/096783,G01C22/00,701/28,,701/117,,340/917,,10.1109/icra.2011.5979636,"Teichman, Alex, ""Towards 3D Object Recognition via Classification of Arbitrary Object Tracks"", International Conference on Robotics and Automation (ICRA), May 9-13, 2011, p. 4034-4041.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,US,A1,US 2015/0307131 A1,173-415-041-808-363,2015-10-29,2015,US 201514693321 A,2015-04-22,DE 102014207666 A 20140423,Autonomous Driving In A Hazard Situation,BAYERISCHE MOTOREN WERKE AG,FROESCHL JOACHIM,https://lens.org/173-415-041-808-363,Patent Application,yes,1,3,3,0,B62D15/025,,G01S13/931,,G01S15/931,B62D15/02,,G01S13/93,,G01S15/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,US,A1,US 2009/0192687 A1,125-353-768-347-172,2009-07-30,2009,US 2219708 A,2008-01-30,US 2219708 A 20080130,Vehicle Path Control For Autonomous Braking System,GM GLOBAL TECH OPERATIONS INC,ZAGORSKI CHAD T,https://lens.org/125-353-768-347-172,Patent Application,yes,6,3,3,0,B60T7/22,,B60T8/17558,,B60T2201/022,,B60T2201/024,G06F17/00,701/70,,701/301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,US,A1,US 2015/0158499 A1,132-336-859-734-097,2015-06-11,2015,US 201414561794 A,2014-12-05,US 201462047194 P 20140908,,US 201361912146 P 20131205,Vehicle Monitoring System,MAGNA ELECTRONICS INC,KORAVADI KRISHNA,https://lens.org/132-336-859-734-097,Patent Application,yes,6,3,3,0,B60W30/09,,B60T7/12,,B60T7/18,,B62D15/029,,G08G1/164,B60W50/02,,B60T7/12,,B62D6/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,US,A1,US 2010/0070136 A1,183-977-548-268-762,2010-03-18,2010,US 28410708 A,2008-09-18,US 28410708 A 20080918,Method Of Controlling A Vehicle Steering Apparatus,TRW AUTOMOTIVE US LLC,WILLIAMS DANIEL E,,GILLAM ANTHONY G,https://lens.org/183-977-548-268-762,Patent Application,yes,5,5,5,0,B62D1/286,B62D6/00,701/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,US,A1,US 2015/0279210 A1,114-021-452-632-380,2015-10-01,2015,US 201414226244 A,2014-03-26,US 201414226244 A 20140326,Orchestrating Autonomous Movements Of Parked Vehicles To Optimize Parking Efficiency,ZAFIROGLU ALEXANDRA C,,HEALEY JENNIFER A,,CORREA JUAN I,,SABA DOS REIS MARIA PAULA,,ABREU ALEJANDRO,,FANG VICTORIA S,,SZOSTAK DALILA,,FOX SARAH E,ZAFIROGLU ALEXANDRA C,,HEALEY JENNIFER A,,CORREA JUAN I,,SABA DOS REIS MARIA PAULA,,ABREU ALEJANDRO,,FANG VICTORIA S,,SZOSTAK DALILA,,FOX SARAH E,https://lens.org/114-021-452-632-380,Patent Application,yes,2,2,2,0,G08G1/065,,G08G1/143,,G08G1/144,,G08G1/146,,G08G1/168,G08G1/065,,G08G1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,US,A1,US 2016/0307449 A1,126-703-671-533-933,2016-10-20,2016,US 201514687306 A,2015-04-15,US 201514687306 A 20150415,Autonomous Drone Service System,IBM,GORDON MICHAEL S,,KOZLOSKI JAMES R,,MALKIN PETER K,,PICKOVER CLIFFORD A,https://lens.org/126-703-671-533-933,Patent Application,yes,4,2,2,0,G08G5/0069,,B64C39/024,,B64C2201/027,,B64C2201/126,,B64C2201/127,,B64C2201/128,,G05D1/101,,G06Q10/06312,,G06Q30/0635,,G08G1/202,,G08G5/0043,,G08G5/0056,,G08G5/006,G08G5/00,,G05D1/00,,G06Q30/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,US,B1,US 7674581 B1,108-731-974-668-03X,2010-03-09,2010,US 16110305 A,2005-07-22,US 44187603 P 20030122,Autonomous Genosensor Apparatus,UNIV SOUTH FLORIDA,FRIES DAVID P,,PAUL JOHN H,,FARMER ANDREW,,SMITH MATTHEW,https://lens.org/108-731-974-668-03X,Granted Patent,yes,2,4,4,0,G01N1/02,,G01N35/00,,G01N35/00009,,G01N35/00069,,G01N2035/00881,C12Q1/68,,C12M1/36,,C12N11/16,,G01N,,G01N15/06,435/6,,435/91.2,,435/283.1,,435/287.2,,435/288.4,,435/288.7,,422/68.1,,422/82.05,,10.1002/fact.1013,"Fries et al. ""In-water filed analytical tehcnology: Underwater mass spectrometry, mobile robots, and remote intelligence of wide and local area chemical profiling"" Field Analytical Chemistry and Technology, 2001 5(3): 121-130.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,US,A1,US 2012/0072051 A1,155-721-987-480-963,2012-03-22,2012,US 88774610 A,2010-09-22,US 88774610 A 20100922,Trackless Transit System With Adaptive Vehicles,KOON PHILLIP L,,STEPHENS GENTRY B,KOON PHILLIP L,,STEPHENS GENTRY B,https://lens.org/155-721-987-480-963,Patent Application,yes,20,12,12,0,G05D1/0278,,G05D1/0234,,G05D1/024,,G05D1/027,,G05D1/0272,,G05D1/0297,,G05D2201/0212,G05D1/02,701/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,WO,A1,WO 2017/070461 A1,091-547-246-574-718,2017-04-27,2017,US 2016/0058094 W,2016-10-21,US 201562244681 P 20151021,,US 201615299047 A 20161020,Autonomous Handover On A Shared Communication Medium,QUALCOMM INC,PATEL CHIRAG SURESHBHAI,,LUO TAO,https://lens.org/091-547-246-574-718,Patent Application,yes,0,2,2,0,H04W36/36,,H04W36/0083,,H04W36/24,H04W36/36,,H04W36/00,,H04W36/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,US,A1,US 2010/0302158 A1,070-959-582-017-004,2010-12-02,2010,US 47201409 A,2009-05-26,US 47201409 A 20090526,System And Method For Linear And Angular Measurements Of A Moving Object,HONEYWELL INT INC,FANG RON,,VU TOAN,https://lens.org/070-959-582-017-004,Patent Application,yes,0,4,4,0,G06F3/03543,,G01C22/00,,G01D5/28,,G01P3/36,G06T7/20,,G06F3/033,345/166,,382/103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,WO,A1,WO 2012/068629 A1,137-899-607-821-080,2012-05-31,2012,AU 2011/001521 W,2011-11-25,AU 2010 905223 A 20101125,Apparatus And Method For Obtaining Information From Drilled Holes For Mining,TECH RESOURCES PTY LTD,,UNIV SYDNEY,,PAL ANNETTE BRONWYN,,NETTLETON ERIC,PAL ANNETTE BRONWYN,,NETTLETON ERIC,https://lens.org/137-899-607-821-080,Patent Application,yes,2,6,6,0,E21B47/00,,E21B47/042,,G01V1/40,,G01V3/38,E21B47/00,,G01V1/40,,G01V3/38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,US,A1,US 2016/0209848 A1,148-229-220-097-856,2016-07-21,2016,US 201514597515 A,2015-01-15,US 201514597515 A 20150115,Associating Passenger Docking Locations With Destinations,NISSAN NORTH AMERICA INC,KOJO NAOKI,,THAKUR SIDDHARTH KUMAR,,MEULEAU NICOLAS,,SAITO DAISUKE,,LELE NIKHIL,https://lens.org/148-229-220-097-856,Patent Application,yes,0,2,10,0,G05D1/0291,,G01C21/00,,G05D1/0088,,G05D1/0217,,G05D1/0225,,G05D1/0274,,G05D2201/0213,G05D1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,US,A1,US 2015/0149022 A1,061-722-015-370-547,2015-05-28,2015,US 201514611253 A,2015-02-01,US 201514611253 A 20150201,Methods For Dense Parking Of Remotely Controlled Or Autonomous Vehicles,HARVEY THOMAS DANAHER,HARVEY THOMAS DANAHER,https://lens.org/061-722-015-370-547,Patent Application,yes,8,2,11,0,B60W30/06,,E04H6/422,,G05B15/02,,G05D1/0297,,G05D2201/0213,B60W30/06,,G05B15/02,701/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,US,B1,US 9672446 B1,040-828-321-778-720,2017-06-06,2017,US 201615148970 A,2016-05-06,US 201615148970 A 20160506,Object Detection For An Autonomous Vehicle,UBER TECH INC,VALLESPI-GONZALEZ CARLOS,https://lens.org/040-828-321-778-720,Granted Patent,yes,0,1,1,0,G06K9/6267,,B60R11/04,,G06K9/00805,,G06K9/6202,,H04N13/0203,,H04N2013/0081,G06K9/62,,B60R11/04,,G06K9/00,,H04N13/00,,H04N13/02,,,,"International Search Report and Written Opinion issued in PCT/US2016/031929 dated Aug. 17, 2016.;;International Search Report and Written Opinion issued in PCT/US2016/066235 dated Mar. 27, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,WO,A1,WO 2016/128787 A1,079-972-861-632-054,2016-08-18,2016,IB 2015050975 W,2015-02-10,IB 2015050975 W 20150210,Method And Traffic Management System For Operating Multiple Motor Vehicles,AUDI AG,KAUSCH CARSTEN,https://lens.org/079-972-861-632-054,Patent Application,yes,0,1,1,0,G08G1/22,G08G1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,US,A1,US 2015/0356665 A1,018-545-699-778-450,2015-12-10,2015,US 201514733347 A,2015-06-08,US 201462009326 P 20140608,Pre-purchase Mechanism For Autonomous Vehicles,COLSON SHAY C,,DIVINE DAVID A,COLSON SHAY C,,DIVINE DAVID A,https://lens.org/018-545-699-778-450,Patent Application,yes,1,1,1,0,G06Q30/0635,,G01C21/3697,G06Q30/06,,G01C21/36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,WO,A1,WO 2017/053615 A1,000-055-362-256-504,2017-03-30,2017,US 2016/0053179 W,2016-09-22,US 201562232807 P 20150925,Non-solid Object Monitoring,QUOVARD MAN LLC,,https://lens.org/000-055-362-256-504,Patent Application,yes,0,1,1,0,G08G1/16,,G01C21/26,,G05D1/0214,,G08G1/0967,G01C21/26,,G05D1/02,,,,"""Using Robots in Hazardous Environments"", 1 January 2011, ELSEVIER, ISBN: 978-1-84569-786-0, article C. ARMBRUST ET AL: ""RAVON: The robust autonomous vehicle for off-road navigation"", pages: 353 - 396, XP055333883, DOI: 10.1533/9780857090201.3.353;;None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,US,A1,US 2001/0021888 A1,036-967-368-093-070,2001-09-13,2001,US 77627701 A,2001-02-02,US 77627701 A 20010202,Anti-rut System For Autonomous-vehicle Guidance,BURNS RAY L.,,PARFENOV VADIM,BURNS RAY L,,PARFENOV VADIM,https://lens.org/036-967-368-093-070,Patent Application,yes,32,8,8,0,G05D1/0297,,G05D1/0278,,G05D2201/0202,,G05D2201/021,G01S19/48,,G05D1/02,701/23,,701/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,US,A1,US 2015/0274178 A1,187-363-257-652-026,2015-10-01,2015,US 201514660131 A,2015-03-17,JP 2014061655 A 20140325,Vehicle Device,FUJITSU TEN LTD,TSUYUNASHI MASASHI,,YAMATO TOSHITAKA,https://lens.org/187-363-257-652-026,Patent Application,yes,3,3,3,0,B60K35/00,,B60K2350/2013,,B60K2350/2052,,B60W30/09,,B60W30/095,,B60W2540/04,B60W50/10,,B60K35/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,US,A1,US 2009/0043440 A1,167-619-667-132-358,2009-02-12,2009,US 10263508 A,2008-04-14,JP 2007104758 A 20070412,,JP 2007266340 A 20071012,"Autonomous Mobile Device, And Control Device And Program Product For The Autonomous Mobile Device",MATSUKAWA YOSHIHIKO,,FUJIOKA SOICHIRO,,ADACHI YUJI,,INAJI TOSHIO,MATSUKAWA YOSHIHIKO,,FUJIOKA SOICHIRO,,ADACHI YUJI,,INAJI TOSHIO,https://lens.org/167-619-667-132-358,Patent Application,yes,44,4,4,0,G05D1/0238,,G05D1/0214,,G05D1/024,,G05D2201/0206,G05D1/00,701/25,,701/23,,10.1109/itsc.2006.1706871,,10.1109/iros.2001.976369,"L. Navarro-Serment, C. Mertz and M. Herbert, ""Predictive Mover Detection and Tacking in Cluttered Environments,"" Robotics Institute, Paper 355, Jan. 2006;;Y. Murakami, Y. Kuno, N. Shimada and Y. Shirai, ""Collision Avoidance by Observing Pedestrians' Faces for Intelligent Wheelchairs,"" In Proc. IEEE/RSJ International Conference on Intelligent Robots and Systems, 2001, pp. 2018-2023;;T. Gandhi and M. Trivedi, ""Pedestrian Collision Avoidance Systems: A Survey of Computer Vision Based Recent Studies,"" In Proc. IEEE Intelligent Transportation Systems Conference, 2006, pp. 976-981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,WO,A1,WO 2016/089640 A1,032-089-897-704-787,2016-06-09,2016,US 2015/0062054 W,2015-11-23,US 201462085787 P 20141201,Automatic Parallel Parking Of Vehicle Equipped With Manual Transmission,BORGWARNER INC,MAGUIRE JOEL,,BUCHANAN MARK RAY,https://lens.org/032-089-897-704-787,Patent Application,yes,0,1,1,0,B62D15/0285,B60W30/06,,B60W10/02,,B60W10/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
